elapsed time,receive time,header.stamp,topic,value
35.749596943,1680633421.819146097,1680633421.785653114,qy,-0.04780719429254532
35.754251699,1680633421.823800853,1680633421.789819955,qy,-0.048331160098314285
35.758023351,1680633421.827572505,1680633421.793986558,qy,-0.04869023337960243
35.762046652,1680633421.831595806,1680633421.798153162,qy,-0.048803381621837616
35.766058401,1680633421.835607555,1680633421.802319765,qy,-0.04880966246128082
35.770551016,1680633421.840100170,1680633421.806486606,qy,-0.04871337115764618
35.774468988,1680633421.844018142,1680633421.810653209,qy,-0.048667650669813156
35.778715011,1680633421.848264165,1680633421.814819812,qy,-0.048654183745384216
35.783308033,1680633421.852857187,1680633421.818986654,qy,-0.04873676225543022
35.787064395,1680633421.856613549,1680633421.823153257,qy,-0.04883817210793495
35.790961373,1680633421.860510527,1680633421.827319860,qy,-0.04883315786719322
35.79553465,1680633421.865083804,1680633421.831486463,qy,-0.04882019758224487
35.799758927,1680633421.869308081,1680633421.835653305,qy,-0.04918711259961128
35.803652833,1680633421.873201987,1680633421.839819908,qy,-0.04942348971962929
35.809584507,1680633421.879133661,1680633421.843986511,qy,-0.04948166385293007
35.813819038,1680633421.883368192,1680633421.848153114,qy,-0.0494171641767025
35.818198721,1680633421.887747875,1680633421.852319955,qy,-0.04928494244813919
35.821601873,1680633421.891151027,1680633421.856486558,qy,-0.04917840659618378
35.824811601,1680633421.894360755,1680633421.860653162,qy,-0.04909393936395645
35.828789958,1680633421.898339112,1680633421.864819765,qy,-0.049028970301151276
35.833018364,1680633421.902567518,1680633421.868986606,qy,-0.04891606420278549
35.837249397,1680633421.906798551,1680633421.873153209,qy,-0.04883178323507309
35.841347107,1680633421.910896261,1680633421.877319812,qy,-0.04888201504945755
35.845571269,1680633421.915120423,1680633421.881486654,qy,-0.04896114394068718
35.849558887,1680633421.919108041,1680633421.885653257,qy,-0.04890847206115723
35.853613285,1680633421.923162439,1680633421.889819860,qy,-0.04873368889093399
35.858133679,1680633421.927682833,1680633421.893986463,qy,-0.04852677881717682
35.86225822,1680633421.931807374,1680633421.898153305,qy,-0.048430442810058594
35.866043689,1680633421.935592843,1680633421.902319908,qy,-0.048504848033189774
35.870370304,1680633421.939919458,1680633421.906486511,qy,-0.048637088388204575
35.874617034,1680633421.944166188,1680633421.910653114,qy,-0.04862786829471588
35.878608431,1680633421.948157585,1680633421.914819955,qy,-0.04862459376454353
35.882828744,1680633421.952377898,1680633421.918986558,qy,-0.0486440472304821
35.887169566,1680633421.956718720,1680633421.923153162,qy,-0.04866136983036995
35.891630092,1680633421.961179246,1680633421.927319765,qy,-0.048773761838674545
35.895634193,1680633421.965183347,1680633421.931486606,qy,-0.04887358844280243
35.899633012,1680633421.969182166,1680633421.935653209,qy,-0.04895014315843582
35.903744758,1680633421.973293912,1680633421.939819812,qy,-0.04906044900417328
35.907851678,1680633421.977400832,1680633421.943986654,qy,-0.04909012094140053
35.91208624,1680633421.981635394,1680633421.948153257,qy,-0.049061719328165054
35.916203694000004,1680633421.985752848,1680633421.952319860,qy,-0.04897299408912659
35.920562188,1680633421.990111342,1680633421.956486463,qy,-0.04893605783581734
35.924781769,1680633421.994330923,1680633421.960653305,qy,-0.04900652915239334
35.929006212,1680633421.998555366,1680633421.964819908,qy,-0.049206964671611786
35.933017294,1680633422.002566448,1680633421.968986511,qy,-0.04938308522105217
35.937124971,1680633422.006674125,1680633421.973153114,qy,-0.04947134107351303
35.94111719,1680633422.010666344,1680633421.977319955,qy,-0.049429070204496384
35.945221705,1680633422.014770859,1680633421.981486558,qy,-0.048907410353422165
35.949712335,1680633422.019261489,1680633421.985653162,qy,-0.04851353168487549
35.954046457,1680633422.023595611,1680633421.989819765,qy,-0.048407819122076035
35.958163731,1680633422.027712885,1680633421.993986606,qy,-0.04842710122466087
35.962371636,1680633422.031920790,1680633421.998153209,qy,-0.048555027693510056
35.966024798,1680633422.035573952,1680633422.002319812,qy,-0.04863078519701958
35.970376276,1680633422.039925430,1680633422.006486654,qy,-0.04852652922272682
35.974497278,1680633422.044046432,1680633422.010653257,qy,-0.04839898273348808
35.978727048,1680633422.048276202,1680633422.014819860,qy,-0.048262856900691986
35.983185054,1680633422.052734208,1680633422.018986463,qy,-0.048295918852090836
35.987294334,1680633422.056843488,1680633422.023153305,qy,-0.04835185781121254
35.991069058,1680633422.060618212,1680633422.027319908,qy,-0.04834814742207527
35.995523364,1680633422.065072518,1680633422.031486511,qy,-0.048278193920850754
35.999753971,1680633422.069303125,1680633422.035653114,qy,-0.04816378280520439
36.006203818,1680633422.075752972,1680633422.039819955,qy,-0.04806653410196304
36.007899172,1680633422.077448326,1680633422.043986558,qy,-0.048043325543403625
36.012316768,1680633422.081865922,1680633422.048153162,qy,-0.04814457893371582
36.016430739,1680633422.085979893,1680633422.052319765,qy,-0.04819725081324577
36.020552138,1680633422.090101292,1680633422.056486606,qy,-0.04836755990982056
36.024667844,1680633422.094216998,1680633422.060653209,qy,-0.048433490097522736
36.029136007,1680633422.098685161,1680633422.064819812,qy,-0.04838785156607628
36.033238557,1680633422.102787711,1680633422.068986654,qy,-0.04825668781995773
36.037138802,1680633422.106687956,1680633422.073153257,qy,-0.04824023321270943
36.041463943,1680633422.111013097,1680633422.077319860,qy,-0.04832661896944046
36.045717048,1680633422.115266202,1680633422.081486463,qy,-0.048552025109529495
36.049812366,1680633422.119361520,1680633422.085653305,qy,-0.048761606216430664
36.053834655,1680633422.123383809,1680633422.089819908,qy,-0.04872242733836174
36.058171944,1680633422.127721098,1680633422.093986511,qy,-0.04853019490838051
36.062386168,1680633422.131935322,1680633422.098153114,qy,-0.04843747243285179
36.066252491,1680633422.135801645,1680633422.102319955,qy,-0.048490896821022034
36.07036355,1680633422.139912704,1680633422.106486558,qy,-0.04867098852992058
36.074823855,1680633422.144373009,1680633422.110653162,qy,-0.04878447577357292
36.078820699,1680633422.148369853,1680633422.114819765,qy,-0.04873865842819214
36.083160861,1680633422.152710015,1680633422.118986606,qy,-0.04858572781085968
36.087284976,1680633422.156834130,1680633422.123153209,qy,-0.04842730984091759
36.091629528,1680633422.161178682,1680633422.127319812,qy,-0.04833715781569481
36.095616409,1680633422.165165563,1680633422.131486654,qy,-0.04826787859201431
36.099943745,1680633422.169492899,1680633422.135653257,qy,-0.04824696481227875
36.103822887,1680633422.173372041,1680633422.139819860,qy,-0.048257745802402496
36.108406478,1680633422.177955632,1680633422.143986463,qy,-0.0482373982667923
36.112293724,1680633422.181842878,1680633422.148153305,qy,-0.04818377643823624
36.116400057,1680633422.185949211,1680633422.152319908,qy,-0.04808426275849342
36.12085507,1680633422.190404224,1680633422.156486511,qy,-0.048263829201459885
36.125087532,1680633422.194636686,1680633422.160653114,qy,-0.04830262064933777
36.129083544,1680633422.198632698,1680633422.164819955,qy,-0.04822653532028198
36.13319932,1680633422.202748474,1680633422.168986558,qy,-0.048193346709012985
36.137547454,1680633422.207096608,1680633422.173153162,qy,-0.04823044314980507
36.14143063,1680633422.210979784,1680633422.177319765,qy,-0.04824399575591087
36.145790182,1680633422.215339336,1680633422.181486606,qy,-0.04820265993475914
36.149955227,1680633422.219504381,1680633422.185653209,qy,-0.04820947349071503
36.15391912,1680633422.223468274,1680633422.189819812,qy,-0.04824621230363846
